pXC50,nHet,nN,Me,AMW,C.,H.,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHM,nI,nO,nP
8.886,29,10,1.025,8.167,35.0,44.3,1.135,0.65,0.628,1143.42,7.1,22,140,0,34,81,0,143,49,0,0,30,19,12,0,62,3,0,16,0
7.418,6,3,0.991,6.753,41.9,50.0,1.124,0.653,0.61,499.71,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,0,0,3,0
6.432,6,3,1.006,9.485,47.8,39.1,1.11,0.725,0.69,436.33,6.5,18,46,0,20,31,1,49,22,0,0,20,2,2,0,18,1,0,2,0
5.37,9,3,1.005,7.212,40.5,47.3,1.127,0.648,0.619,533.68,4.1,12,74,0,17,42,0,77,30,0,0,17,13,5,0,35,0,0,6,0
6.66,10,3,1.008,7.363,41.5,46.3,1.129,0.651,0.625,603.75,3.7,12,82,0,17,49,0,87,34,0,0,17,17,5,1,38,0,0,6,0
6.29,9,3,1.001,7.056,41.2,48.2,1.125,0.65,0.616,599.79,3.5,12,85,0,17,49,0,90,35,0,0,17,18,5,0,41,0,0,6,0
6.39,10,3,1.008,7.363,41.5,46.3,1.129,0.651,0.625,603.75,3.7,12,82,0,17,49,0,87,34,0,0,17,17,5,1,38,0,0,6,0
6.48,9,2,1.007,7.359,42.5,46.3,1.126,0.655,0.627,588.73,2.5,12,80,0,17,48,0,85,34,0,0,17,17,5,1,37,0,0,6,0
5.57,9,3,1.004,7.113,40.3,48.1,1.127,0.645,0.614,547.71,3.9,12,77,0,17,43,0,80,31,0,0,17,14,5,0,37,0,0,6,0
6.76,9,3,1.002,7.143,41.5,47.6,1.125,0.652,0.62,585.76,3.7,12,82,0,17,48,0,87,34,0,0,17,17,5,0,39,0,0,6,0
6.0,13,5,1.007,7.352,41.2,46.1,1.126,0.653,0.626,749.94,4.9,27,102,0,32,59,0,106,42,0,0,29,13,5,0,47,0,0,8,0
5.31,9,3,1.007,7.252,40.0,47.1,1.128,0.645,0.618,507.64,4.3,12,70,0,17,39,0,72,28,0,0,17,11,5,0,33,0,0,6,0
