pXC50,SCBO,nCsp2,MW,nBM
6.821,48.5,21,463.56,23
5.704,44.5,21,364.47,24
4.548,49.5,21,448.47,24
5.908,45.5,21,382.46,24
5.953,47.5,21,408.53,24
5.873,45.5,21,378.5,24
6.987,48.5,21,430.48,24
7.441,48.5,21,455.51,25
7.492,47.5,22,435.45,24
7.158,37.5,15,355.49,19
7.506,46.5,22,413.5,24
6.329,41.5,21,375.87,23
6.991,41.5,21,375.87,23
6.662,44.5,21,409.43,23
6.383,46.5,21,394.5,24
5.194,40.5,14,379.34,20
6.721,41.5,21,360.81,24
5.699,41.5,20,327.36,25
5.0,42.5,15,377.44,20
5.367,37.5,14,388.77,19
6.244,44.5,21,351.38,25
5.0,40.0,18,317.32,24
5.4,25.0,7,278.39,7
5.699,44.0,11,454.59,14
6.622,24.0,8,230.34,11
9.155,57.0,26,510.72,31
8.42,52.5,24,471.61,27
9.398,59.5,28,518.72,32
8.244,52.0,24,432.56,29
8.481,39.5,20,326.42,23
7.167,54.5,26,479.05,30
7.854,61.5,24,590.82,29
6.975,45.5,20,410.6,23
9.301,62.5,29,561.79,32
7.959,66.0,26,632.88,33
7.854,64.0,25,587.77,33
7.943,59.5,24,537.73,28
9.0,50.5,14,570.5,18
4.796,34.5,12,314.35,17
5.861,35.5,16,342.42,18
7.387,58.5,22,564.78,28
7.854,67.5,27,627.84,34
9.046,64.0,25,564.71,32
7.155,61.5,22,628.27,28
7.602,61.5,22,607.86,28
7.013,49.5,22,444.59,26
8.26,51.5,21,514.46,26
8.194,61.5,22,611.82,28
7.585,55.5,22,522.69,28
7.975,55.5,22,522.69,28
7.607,68.5,28,644.84,34
8.377,58.5,22,541.72,27
6.31,39.5,16,368.49,20
8.0,54.5,15,546.74,19
5.433,17.5,8,164.6,11
6.686,32.0,14,314.37,14
6.297,33.0,14,328.4,14
7.0,35.5,9,339.51,15
5.0,40.5,9,395.52,13
7.398,31.0,5,313.5,10
7.114,38.0,11,367.92,16
5.613,39.0,11,363.51,16
6.155,37.0,10,334.47,16
5.62,28.5,4,324.43,7
6.345,41.5,15,412.51,18
4.796,26.0,5,277.42,10
7.745,30.0,8,320.38,8
8.347,40.0,17,373.53,18
5.0,42.5,20,341.39,25
5.0,32.5,14,266.28,19
6.051,35.5,16,291.33,20
6.215,41.5,19,328.35,25
5.495,41.5,14,399.33,21
5.0,31.5,14,251.26,19
7.924,53.5,26,451.58,31
8.167,59.5,24,537.73,28
8.538,55.5,24,512.72,27
8.041,64.0,25,587.77,33
8.77,60.5,22,593.83,28
8.022,63.5,27,563.74,32
7.77,61.5,22,590.82,28
10.301,65.5,28,574.75,33
8.229,71.5,28,684.94,34
8.921,58.0,25,509.67,31
8.77,58.5,22,540.74,27
7.658,52.5,26,463.05,29
9.0,64.5,28,559.73,33
6.87,50.5,14,570.5,18
7.77,49.5,21,445.58,26
7.854,34.0,12,381.28,13
5.433,26.0,7,275.38,7
5.0,40.0,11,397.53,16
6.0,46.0,10,479.52,17
5.0,38.0,9,367.51,16
6.09,33.0,7,343.46,8
6.975,48.0,17,448.52,22
5.699,45.0,12,468.62,14
7.337,46.5,15,468.58,18
5.699,44.0,12,453.6,14
6.0,47.0,13,429.58,18
5.699,45.0,12,468.62,14
5.45,26.0,7,275.38,7
7.167,45.5,21,371.37,26
5.91,46.5,21,368.37,28
6.9,29.0,8,322.4,8
7.021,31.0,8,334.41,8
7.815,28.0,8,308.37,8
