pXC50,RBN,RBF,Sp,Sv,nAT,nBT,Si,MW,nH,AMW,C.,H.,Me,Mi,Mp
8.745,4,0.074,36.665,34.551,51,54,57.187,463.82,21,9.095,43.1,41.2,1.011,1.121,0.719
6.517,15,0.268,35.438,31.956,57,56,64.737,356.6,33,6.256,35.1,57.9,0.987,1.136,0.622
6.276,16,0.267,37.995,33.746,61,60,69.371,370.54,36,6.074,34.4,59.0,0.982,1.137,0.623
9.0,17,0.227,45.91,41.236,76,75,86.597,419.74,46,5.523,35.5,60.5,0.977,1.139,0.604
8.086,18,0.25,44.148,39.709,73,72,83.182,405.71,44,5.558,35.6,60.3,0.978,1.139,0.605
8.155,18,0.247,44.665,40.041,74,73,84.052,403.72,45,5.456,35.1,60.8,0.976,1.136,0.604
5.75,18,0.269,41.143,36.987,68,67,77.221,375.66,41,5.524,35.3,60.3,0.977,1.136,0.605
7.854,18,0.231,47.671,42.763,79,78,90.012,433.77,48,5.491,35.4,60.8,0.977,1.139,0.603
5.514,17,0.266,39.381,35.46,65,64,73.806,361.63,39,5.564,35.4,60.0,0.978,1.135,0.606
5.0,5,0.119,28.898,27.347,40,42,44.242,336.44,16,8.411,47.5,40.0,1.003,1.106,0.722
8.114,17,0.227,45.91,41.236,76,75,86.597,419.74,46,5.523,35.5,60.5,0.977,1.139,0.604
6.807,19,0.271,42.904,38.514,71,70,80.636,389.69,43,5.489,35.2,60.6,0.976,1.136,0.604
7.626,18,0.257,42.904,38.514,71,70,80.636,389.69,43,5.489,35.2,60.6,0.976,1.136,0.604
7.352,20,0.274,44.665,40.041,74,73,84.052,403.72,45,5.456,35.1,60.8,0.976,1.136,0.604
6.418,17,0.243,42.904,38.514,71,70,80.636,389.69,43,5.489,35.2,60.6,0.976,1.136,0.604
8.409,15,0.25,38.023,34.046,61,60,69.125,366.04,36,6.001,36.1,59.0,0.978,1.133,0.623
7.23,16,0.262,37.62,33.933,62,61,70.391,347.6,37,5.606,35.5,59.7,0.978,1.135,0.607
8.6,4,0.063,39.512,37.509,58,63,64.607,426.55,26,7.354,46.6,44.8,0.996,1.114,0.681
7.106,21,0.276,45.478,41.878,76,76,86.391,452.7,44,5.957,34.2,57.9,0.992,1.137,0.598
8.201,22,0.259,50.762,46.459,85,85,96.636,494.79,50,5.821,34.1,58.8,0.989,1.137,0.597
8.721,4,0.056,43.665,40.539,68,72,76.896,473.7,35,6.966,36.8,51.5,0.997,1.131,0.642
6.0,5,0.085,35.523,33.552,56,59,63.604,384.53,28,6.867,37.5,50.0,1.0,1.136,0.634
6.0,4,0.075,33.54,31.762,50,53,56.066,361.48,23,7.23,44.0,46.0,0.996,1.121,0.671
6.826,4,0.068,37.0,35.199,56,59,63.236,407.53,26,7.277,42.9,46.4,1.001,1.129,0.661
6.0,5,0.083,37.517,35.53,57,60,64.106,405.54,27,7.115,42.1,47.4,0.998,1.125,0.658
