pXC50,RBN,RBF,nH,MW,C.,SCBO,nC,Sp,nBO,Sv,nSK,N.,Se,Si,nBT,nAT,Mp,nCsp2,nF,Mv,nAB,nN,nBM,H.,Mi,nHet,AMW,nX
5.319,5,0.075,32,424.59,39.7,41.0,25,40.25,35,37.804,31,3.2,62.767,71.062,67,63,0.639,12,0,0.6,12,2,12,50.8,1.128,6,6.74,0
6.947,6,0.167,17,243.33,42.9,25.0,15,23.006,19,21.665,18,2.9,34.825,39.239,36,35,0.657,12,0,0.619,12,1,12,48.6,1.121,3,6.952,0
7.602,2,0.053,19,229.35,41.7,23.0,15,23.313,19,21.477,17,2.8,35.382,40.445,38,36,0.648,8,0,0.597,6,1,7,52.8,1.123,2,6.371,0
5.951,2,0.044,23,277.4,37.2,25.0,16,26.745,22,24.961,20,2.3,42.803,48.694,45,43,0.622,6,0,0.58,6,1,6,53.5,1.132,4,6.451,0
8.658,6,0.087,35,421.64,39.4,41.0,26,42.108,34,38.923,31,4.5,65.098,74.557,69,66,0.638,13,0,0.59,12,3,13,53.0,1.13,5,6.388,0
5.77,4,0.063,30,394.56,40.7,39.0,24,38.034,33,35.562,29,3.4,58.556,66.438,63,59,0.645,12,0,0.603,12,2,12,50.8,1.126,5,6.687,0
6.93,3,0.071,20,268.39,42.5,28.0,17,26.319,22,24.499,20,5.0,39.483,44.943,42,40,0.658,12,0,0.612,12,2,12,50.0,1.124,3,6.71,0
6.907,3,0.073,20,252.39,43.6,27.0,17,25.864,21,23.784,19,5.1,38.156,43.733,41,39,0.663,12,0,0.61,12,2,12,51.3,1.121,2,6.472,0
7.337,7,0.101,35,421.64,39.4,41.0,26,42.108,34,38.923,31,4.5,65.098,74.557,69,66,0.638,13,0,0.59,12,3,13,53.0,1.13,5,6.388,0
6.676,7,0.117,26,423.52,43.9,43.0,25,37.659,34,36.112,31,1.8,57.411,64.073,60,57,0.661,16,1,0.634,12,1,15,45.6,1.124,6,7.43,1
6.719,6,0.167,17,243.33,42.9,25.0,15,23.006,19,21.665,18,2.9,34.825,39.239,36,35,0.657,12,0,0.619,12,1,12,48.6,1.121,3,6.952,0
6.721,8,0.131,26,439.52,43.1,44.0,25,38.114,35,36.827,32,1.7,58.738,65.283,61,58,0.657,16,1,0.635,12,1,15,44.8,1.126,7,7.578,1
7.819,8,0.2,17,344.47,35.9,30.5,14,26.699,23,25.159,22,5.1,39.92,44.126,40,39,0.685,10,1,0.645,11,2,13,43.6,1.131,8,8.833,1
4.699,7,0.123,25,411.57,40.7,40.0,22,36.404,32,34.191,29,5.6,54.083,60.61,57,54,0.674,14,0,0.633,12,3,14,46.3,1.122,7,7.622,0
6.0,2,0.05,21,231.37,39.5,22.0,15,24.074,19,22.004,17,2.6,37.265,42.86,40,38,0.634,6,0,0.579,6,1,6,55.3,1.128,2,6.089,0
8.404,8,0.2,17,360.92,35.9,30.5,14,27.619,23,25.603,22,5.1,39.731,43.73,40,39,0.708,10,0,0.656,11,2,13,43.6,1.121,8,9.254,1
8.276,3,0.073,21,243.38,41.0,24.0,16,25.074,20,23.004,18,2.6,38.265,43.86,41,39,0.643,8,0,0.59,6,1,7,53.8,1.125,2,6.241,0
6.703,2,0.053,19,229.35,41.7,23.0,15,23.313,19,21.477,17,2.8,35.382,40.445,38,36,0.648,8,0,0.597,6,1,7,52.8,1.123,2,6.371,0
5.0,1,0.034,12,204.25,40.7,21.0,11,17.727,17,17.106,15,7.4,27.276,30.491,29,27,0.657,7,0,0.634,6,2,7,44.4,1.129,4,7.565,0
7.432,6,0.087,35,421.64,39.4,41.0,26,42.108,34,38.923,31,4.5,65.098,74.557,69,66,0.638,13,0,0.59,12,3,13,53.0,1.13,5,6.388,0
5.538,6,0.092,30,453.56,37.1,40.0,23,38.614,35,37.26,32,4.8,63.079,71.37,65,62,0.623,8,3,0.601,6,3,8,48.4,1.151,9,7.315,3
6.635,6,0.113,25,377.92,41.2,34.0,21,33.608,28,31.51,26,2.0,51.08,57.598,53,51,0.659,12,1,0.618,12,1,12,49.0,1.129,5,7.41,2
6.032,7,0.106,33,415.59,36.5,38.0,23,39.256,33,36.825,30,4.8,62.869,71.561,66,63,0.623,8,0,0.585,6,3,8,52.4,1.136,7,6.597,0
6.921,3,0.071,20,268.39,42.5,28.0,17,26.319,22,24.499,20,5.0,39.483,44.943,42,40,0.658,12,0,0.612,12,2,12,50.0,1.124,3,6.71,0
6.618,6,0.171,17,227.33,44.1,24.0,15,22.551,18,20.951,17,2.9,33.498,38.029,35,34,0.663,12,0,0.616,12,1,12,50.0,1.119,2,6.686,0
7.31,2,0.053,19,229.35,41.7,23.0,15,23.313,19,21.477,17,2.8,35.382,40.445,38,36,0.648,8,0,0.597,6,1,7,52.8,1.123,2,6.371,0
6.461,2,0.038,25,323.47,42.9,33.0,21,32.052,27,29.773,24,2.0,48.36,54.9,52,49,0.654,12,0,0.608,12,1,12,51.0,1.12,3,6.601,0
7.0,6,0.087,35,421.64,39.4,41.0,26,42.108,34,38.923,31,4.5,65.098,74.557,69,66,0.638,13,0,0.59,12,3,13,53.0,1.13,5,6.388,0
7.119,6,0.122,23,329.44,38.3,32.5,18,29.995,26,28.477,24,6.4,47.123,53.275,49,47,0.638,11,0,0.606,11,3,12,48.9,1.134,6,7.009,0
8.485,7,0.127,27,358.5,39.6,34.0,21,33.756,28,31.704,26,3.8,52.858,60.153,55,53,0.637,12,1,0.598,12,2,12,50.9,1.135,5,6.764,1
7.036,5,0.104,22,327.44,41.3,33.0,19,30.023,26,28.43,24,6.5,45.981,52.196,48,46,0.653,13,1,0.618,12,3,13,47.8,1.135,5,7.118,1
5.959,5,0.114,23,277.41,34.9,25.0,15,26.54,21,24.762,20,7.0,42.796,49.066,44,43,0.617,7,0,0.576,6,3,7,53.5,1.141,5,6.451,0
6.619,6,0.118,24,340.47,38.8,34.0,19,31.546,27,29.783,25,8.2,48.898,55.564,51,49,0.644,12,0,0.608,12,4,13,49.0,1.134,6,6.948,0
8.394,6,0.115,25,340.48,42.0,34.0,21,32.54,27,30.463,25,4.0,49.647,56.528,52,50,0.651,14,1,0.609,12,2,13,50.0,1.131,4,6.81,1
5.07,5,0.1,26,341.36,37.5,27.0,18,31.625,24,28.546,22,4.2,47.338,54.282,50,48,0.659,6,0,0.595,6,2,6,54.2,1.131,4,7.112,2
8.222,1,0.017,29,347.54,43.6,36.0,24,36.12,30,33.111,26,1.8,53.8,61.521,59,55,0.657,12,0,0.602,12,1,12,52.7,1.119,2,6.319,0
5.155,3,0.079,21,219.36,37.8,20.0,14,23.074,17,21.004,16,2.7,36.265,41.86,38,37,0.624,6,0,0.568,6,1,6,56.8,1.131,2,5.929,0
6.229,4,0.071,24,408.48,41.5,38.0,22,34.114,32,33.139,29,3.8,54.069,60.962,56,53,0.644,12,4,0.625,12,2,12,45.3,1.15,7,7.707,4
8.491,7,0.13,27,342.5,40.4,33.0,21,33.302,27,30.989,25,3.8,51.53,58.943,54,52,0.64,12,1,0.596,12,2,12,51.9,1.134,4,6.587,1
4.699,6,0.107,22,422.55,42.3,44.0,22,35.887,34,34.158,30,7.7,52.418,58.278,56,52,0.69,15,0,0.657,16,4,18,42.3,1.121,8,8.126,0
6.0,3,0.065,25,259.43,38.6,24.0,17,27.597,21,25.058,19,2.3,43.032,49.69,46,44,0.627,6,0,0.569,6,1,6,56.8,1.129,2,5.896,0
7.49,3,0.073,21,243.38,41.0,24.0,16,25.074,20,23.004,18,2.6,38.265,43.86,41,39,0.643,8,0,0.59,6,1,7,53.8,1.125,2,6.241,0
8.491,7,0.135,25,344.47,40.0,33.0,20,31.995,27,30.177,25,4.0,49.974,56.738,52,50,0.64,12,1,0.604,12,2,12,50.0,1.135,5,6.889,1
6.206,2,0.067,15,209.35,34.5,18.5,10,19.233,15,17.412,14,10.3,28.683,32.906,30,29,0.663,5,0,0.6,5,3,6,51.7,1.135,4,7.219,0
4.699,6,0.113,22,399.91,42.0,39.0,21,33.853,31,32.304,28,6.0,50.447,56.219,53,50,0.677,14,0,0.646,12,3,14,44.0,1.124,7,7.998,1
6.474,3,0.097,15,221.36,36.7,20.5,11,20.233,16,18.412,15,10.0,29.683,33.906,31,30,0.674,7,0,0.614,5,3,7,50.0,1.13,4,7.379,0
6.0,7,0.103,35,417.61,35.4,37.0,23,40.017,33,37.352,30,4.6,64.752,73.976,68,65,0.616,7,0,0.575,6,3,7,53.8,1.138,7,6.425,0
5.0,2,0.053,18,250.33,36.1,23.0,13,22.466,20,21.402,18,5.6,36.254,40.946,38,36,0.624,6,0,0.594,6,2,6,50.0,1.137,5,6.954,0
4.699,6,0.09,30,474.64,36.5,45.0,23,40.841,37,38.695,33,6.3,63.607,71.358,67,63,0.648,9,0,0.614,6,4,11,47.6,1.133,10,7.534,0
5.745,2,0.043,20,313.4,44.2,32.0,19,28.466,26,27.102,23,2.3,43.105,48.409,46,43,0.662,12,1,0.63,12,1,12,46.5,1.126,4,7.288,1
6.0,3,0.07,23,245.4,39.0,23.0,16,25.836,20,23.531,18,2.4,40.149,46.275,43,41,0.63,6,0,0.574,6,1,6,56.1,1.129,2,5.985,0
4.699,6,0.107,22,433.47,41.5,42.0,22,34.569,34,34.153,31,5.7,54.545,60.709,56,53,0.652,14,3,0.644,12,3,14,41.5,1.145,9,8.179,3
7.893,6,0.115,25,339.48,40.0,34.0,20,32.302,27,30.289,25,6.0,49.68,56.481,52,50,0.646,13,0,0.606,12,3,13,50.0,1.13,5,6.79,0
7.011,2,0.042,20,325.41,45.5,34.0,20,29.466,28,28.102,24,2.3,44.105,49.409,48,44,0.67,12,1,0.639,12,1,12,45.5,1.123,4,7.396,1
4.699,6,0.107,25,379.5,41.5,39.0,22,34.756,31,33.003,28,5.7,53.007,59.69,56,53,0.656,14,0,0.623,12,3,14,47.2,1.126,6,7.16,0
8.26,2,0.042,22,310.43,42.2,32.0,19,29.534,26,27.74,23,4.4,44.694,50.567,48,45,0.656,12,0,0.616,12,2,12,48.9,1.124,4,6.898,0
7.174,3,0.07,23,245.4,39.0,23.0,16,25.836,20,23.531,18,2.4,40.149,46.275,43,41,0.63,6,0,0.574,6,1,6,56.1,1.129,2,5.985,0
8.197,6,0.103,31,361.61,35.7,31.0,20,35.779,27,32.341,25,5.4,55.08,63.437,58,56,0.639,7,0,0.578,6,3,7,55.4,1.133,5,6.457,0
