pXC50,Si,MW,Sp,Sv
4.42,26.618,147.2,12.938,12.327
4.0,73.683,400.59,37.478,35.088
4.0,63.189,319.5,31.461,29.024
4.0,66.853,372.53,33.955,32.035
5.432,50.524,245.41,25.267,23.014
6.0,64.185,301.53,32.313,29.121
6.699,64.185,301.53,32.313,29.121
5.432,57.355,273.47,28.79,26.068
5.481,27.827,163.2,13.392,13.041
4.0,84.687,562.68,48.625,46.991
4.0,71.438,454.58,40.193,38.508
4.0,69.853,408.56,36.955,35.035
4.0,71.268,398.57,36.716,34.562
4.0,77.099,414.62,39.239,36.615
4.367,74.893,416.59,37.932,35.803
4.678,26.618,147.2,12.938,12.327
4.053,30.033,161.23,14.699,13.853
4.122,36.863,189.29,18.222,16.907
4.153,40.279,203.32,19.983,18.434
4.259,53.939,259.44,27.029,24.541
4.605,27.827,163.2,13.392,13.041
5.347,56.149,287.45,28.483,26.256
5.538,56.149,287.45,28.483,26.256
5.444,26.618,147.2,12.938,12.327
4.456,39.867,255.3,21.369,20.81
4.632,47.986,282.38,25.443,24.17
5.244,47.694,265.39,25.745,23.961
4.284,36.867,219.27,18.369,17.81
6.557,57.355,273.47,28.79,26.068
5.62,54.524,293.45,29.267,27.014
6.046,54.524,293.45,29.267,27.014
5.523,71.015,329.59,35.836,32.175
4.066,34.658,191.26,16.915,16.095
4.469,33.448,175.26,16.46,15.38
4.056,31.242,177.23,15.153,14.568
4.0,58.564,289.47,29.245,26.783
4.678,57.607,342.48,32.512,30.509
4.523,26.618,147.2,12.938,12.327
5.357,32.452,193.23,15.608,15.283
5.523,26.618,147.2,12.938,12.327
7.046,73.647,395.56,36.347,34.222
5.357,32.452,193.23,15.608,15.283
5.469,31.242,177.23,15.153,14.568
