pXC50,Sp,Sv,Se,nH,nAT,Si,nBT,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nB,nBM,nBO,nBR,nC
7.748,41.853,37.99,69.821,41,70,79.909,69,6.237,30.0,58.6,0.997,1.142,0.598,0.543,436.59,0.0,0,0,3,28,0,21
6.656,41.188,37.055,67.385,40,68,77.573,67,6.141,30.9,58.8,0.991,1.141,0.606,0.545,417.59,1.5,0,0,4,27,0,21
5.301,41.432,37.25,68.454,41,69,79.119,68,6.11,30.4,59.4,0.992,1.147,0.6,0.54,421.6,1.4,0,0,3,27,0,21
6.706,40.188,36.055,66.385,40,67,76.573,66,6.053,29.9,59.7,0.991,1.143,0.6,0.538,405.58,1.5,0,0,3,26,0,20
7.398,42.381,37.527,67.134,40,68,77.284,67,6.377,30.9,58.8,0.987,1.137,0.623,0.552,433.66,1.5,0,0,4,27,0,21
5.301,45.756,41.177,75.109,43,75,85.755,74,6.661,28.0,57.3,1.001,1.143,0.61,0.549,499.59,1.3,0,0,4,31,0,21
7.62,45.569,40.516,74.338,45,75,85.45,74,6.249,29.3,60.0,0.991,1.139,0.608,0.54,468.71,0.0,0,0,2,29,0,22
5.374,60.972,55.457,95.897,54,97,109.689,98,6.349,36.1,55.7,0.989,1.131,0.629,0.572,615.87,1.0,12,0,15,44,0,35
5.0,59.762,54.237,93.788,53,95,107.563,96,6.325,35.8,55.8,0.987,1.132,0.629,0.571,600.86,2.1,12,0,15,43,0,34
5.433,64.194,58.72,102.21,57,103,116.812,104,6.417,35.0,55.3,0.992,1.134,0.623,0.57,660.92,1.9,12,0,15,47,0,36
5.0,59.762,54.237,93.788,53,95,107.563,96,6.325,35.8,55.8,0.987,1.132,0.629,0.571,600.86,2.1,12,0,15,43,0,34
5.0,65.432,60.194,102.327,55,103,116.397,105,6.63,36.9,53.4,0.993,1.13,0.635,0.584,682.92,1.9,17,0,20,50,0,38
6.943,64.648,59.435,103.537,57,104,118.021,105,6.509,34.6,54.8,0.996,1.135,0.622,0.571,676.92,1.9,12,0,15,48,0,36
5.0,65.501,59.532,103.766,59,105,119.018,106,6.276,35.2,56.2,0.988,1.134,0.624,0.567,658.95,1.9,12,0,15,47,0,37
6.845,62.432,57.194,99.327,55,100,113.397,101,6.469,35.0,55.0,0.993,1.134,0.624,0.572,646.89,2.0,12,0,15,46,0,35
7.399,62.245,58.344,100.865,52,100,114.416,101,7.009,35.0,52.0,1.009,1.144,0.622,0.583,700.86,2.0,12,0,15,49,0,35
6.003,58.455,53.425,92.232,51,93,105.357,94,6.482,35.5,54.8,0.992,1.133,0.629,0.574,602.83,2.2,12,0,15,43,0,33
5.547,60.671,55.667,96.443,53,97,109.981,98,6.524,35.1,54.6,0.994,1.134,0.625,0.574,632.86,2.1,12,0,15,45,0,34
6.714,37.16,32.264,58.821,37,60,68.161,59,6.076,30.0,61.7,0.98,1.136,0.619,0.538,364.59,0.0,0,0,2,22,0,18
5.802,29.682,26.212,49.421,31,50,57.205,49,5.888,28.0,62.0,0.988,1.144,0.594,0.524,294.42,0.0,0,0,1,18,0,14
5.711,26.159,23.158,43.654,27,44,50.374,43,6.054,27.3,61.4,0.992,1.145,0.595,0.526,266.36,0.0,0,0,1,16,0,12
5.0,21.875,19.578,36.003,21,36,41.129,35,6.563,27.8,58.3,1.0,1.142,0.608,0.544,236.28,0.0,0,0,2,14,0,10
5.658,28.921,25.685,47.538,29,48,54.789,47,6.092,29.2,60.4,0.99,1.141,0.603,0.535,292.4,0.0,0,0,2,18,0,14
5.602,30.864,27.79,52.003,31,52,60.09,51,6.316,28.8,59.6,1.0,1.156,0.594,0.534,328.43,0.0,0,0,1,20,0,15
5.367,39.336,35.958,66.156,38,66,75.577,65,6.417,28.8,57.6,1.002,1.145,0.596,0.545,423.55,1.5,0,0,3,27,0,19
5.0,25.398,22.631,41.771,25,42,47.959,41,6.294,28.6,59.5,0.995,1.142,0.605,0.539,264.34,0.0,0,0,2,16,0,12
5.732,28.921,25.685,47.538,29,48,54.789,47,6.092,29.2,60.4,0.99,1.141,0.603,0.535,292.4,0.0,0,0,2,18,0,14
5.314,42.591,39.246,71.222,38,70,80.055,69,7.207,27.1,54.3,1.017,1.144,0.608,0.561,504.51,0.0,0,0,4,31,0,19
6.158,40.591,35.748,66.243,41,67,76.41,66,6.159,28.4,61.2,0.989,1.14,0.606,0.534,412.64,0.0,0,0,1,25,0,19
7.782,45.569,40.516,74.338,45,75,85.45,74,6.249,29.3,60.0,0.991,1.139,0.608,0.54,468.71,0.0,0,0,2,29,0,22
6.275,38.784,35.651,65.381,37,65,74.288,64,6.531,29.2,56.9,1.006,1.143,0.597,0.548,424.53,0.0,0,0,3,27,0,19
5.487,39.398,35.275,66.494,41,67,76.699,66,5.919,28.4,61.2,0.992,1.145,0.588,0.526,396.57,0.0,0,0,1,25,0,19
6.304,39.978,36.124,65.131,37,65,73.998,64,6.778,29.2,56.9,1.002,1.138,0.615,0.556,440.6,0.0,0,0,3,27,0,19
5.801,39.398,35.275,66.494,41,67,76.699,66,5.919,28.4,61.2,0.992,1.145,0.588,0.526,396.57,0.0,0,0,1,25,0,19
6.975,42.643,38.471,70.563,42,71,81.245,71,6.149,31.0,59.2,0.994,1.144,0.601,0.542,436.61,0.0,0,0,2,29,0,22
6.3,40.375,35.506,64.032,39,65,73.785,65,6.256,30.8,60.0,0.985,1.135,0.621,0.546,406.63,0.0,0,0,2,26,0,20
6.211,43.898,38.56,69.799,43,71,80.616,71,6.122,31.0,60.6,0.983,1.135,0.618,0.543,434.69,0.0,0,0,2,28,0,22
5.712,42.58,38.854,71.076,41,71,81.585,71,6.403,31.0,57.7,1.001,1.149,0.6,0.547,454.6,0.0,0,0,2,30,0,22
7.387,44.546,43.922,67.64,26,66,74.749,70,8.327,45.5,39.4,1.025,1.133,0.675,0.665,549.59,4.5,23,0,25,44,0,30
7.42,38.972,37.245,59.218,27,59,66.315,62,7.348,42.4,45.8,1.004,1.124,0.661,0.631,433.55,5.1,17,0,19,35,0,25
6.975,40.733,38.772,62.101,29,62,69.73,65,7.219,41.9,46.8,1.002,1.125,0.657,0.625,447.58,4.8,17,0,19,36,0,26
6.754,38.21,36.718,57.334,25,57,63.9,61,7.571,43.9,43.9,1.006,1.121,0.67,0.644,431.53,5.3,17,0,19,36,0,25
7.3,42.216,40.74,62.436,26,62,69.398,66,7.784,45.2,41.9,1.007,1.119,0.681,0.657,482.58,6.5,23,0,25,40,0,28
7.462,42.154,41.123,62.949,25,62,69.738,66,8.074,45.2,40.3,1.015,1.125,0.68,0.663,500.57,6.5,23,0,25,41,0,28
6.951,43.79,43.416,66.858,25,65,73.832,69,8.47,44.6,38.5,1.029,1.136,0.674,0.668,550.58,6.2,23,0,25,44,0,29
6.759,43.79,43.416,66.858,25,65,73.832,69,8.47,44.6,38.5,1.029,1.136,0.674,0.668,550.58,6.2,23,0,25,44,0,29
6.664,39.978,38.266,61.32,28,61,68.813,64,7.354,41.0,45.9,1.005,1.128,0.655,0.627,448.57,6.6,17,0,19,36,0,25
6.4,38.216,36.74,58.436,26,58,65.398,61,7.492,41.4,44.8,1.008,1.128,0.659,0.633,434.54,6.9,17,0,19,35,0,24
6.793,40.978,39.266,62.32,28,62,69.813,66,7.429,41.9,45.2,1.005,1.126,0.661,0.633,460.58,6.5,17,0,19,38,0,26
6.007,38.216,36.74,58.436,26,58,65.398,61,7.492,41.4,44.8,1.008,1.128,0.659,0.633,434.54,6.9,17,0,19,35,0,24
7.495,47.085,45.19,69.825,29,69,77.441,73,8.112,42.0,42.0,1.012,1.122,0.682,0.655,559.7,7.2,23,0,27,44,0,29
7.638,43.807,42.342,64.421,26,64,72.142,69,7.916,43.8,40.6,1.007,1.127,0.684,0.662,506.62,12.5,28,0,29,43,0,28
7.377,43.978,42.266,65.32,28,65,72.813,69,7.64,44.6,43.1,1.005,1.12,0.677,0.65,496.61,6.2,23,0,25,41,0,29
7.444,40.455,39.213,59.552,24,59,65.983,63,7.942,45.8,40.7,1.009,1.118,0.686,0.665,468.55,6.8,23,0,25,39,0,27
6.409,39.455,38.213,58.552,24,58,64.983,61,7.871,44.8,41.4,1.01,1.12,0.68,0.659,456.54,6.9,23,0,25,37,0,26
7.722,42.216,40.74,62.436,26,62,69.398,66,7.784,45.2,41.9,1.007,1.119,0.681,0.657,482.58,6.5,23,0,25,40,0,28
7.722,42.154,41.123,62.949,25,62,69.738,66,8.074,45.2,40.3,1.015,1.125,0.68,0.663,500.57,6.5,23,0,25,41,0,28
