pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
8.0,7.251,38.9,46.3,1.0,1.138,0.655,0.622,391.53,13.0,18,54,0,18,32,0,57,21,0,0,13,8,0,0,25,8,0,0,7,1,0,0,29,0,0,1.9,0.07,4,41.0,53.992,61.434,35.347,33.606,0
8.155,7.044,36.2,48.3,1.0,1.144,0.64,0.606,408.57,13.8,17,58,0,17,33,0,61,21,0,0,11,10,0,0,28,9,0,0,8,1,0,0,30,0,0,1.7,0.066,4,41.5,57.978,66.348,37.114,35.154,0
8.222,6.87,34.0,50.0,1.0,1.149,0.627,0.592,343.49,14.0,12,50,0,12,27,0,52,17,0,0,7,10,0,0,25,8,0,0,7,1,0,0,25,0,0,2.0,0.058,3,33.0,49.992,57.434,31.347,29.606,0
8.222,6.655,33.9,51.6,0.996,1.148,0.623,0.584,412.61,12.9,12,62,0,12,33,0,65,21,0,0,8,13,0,0,32,9,0,0,8,1,0,0,30,0,0,1.6,0.062,4,39.0,61.745,71.178,38.637,36.208,0
7.409,7.115,38.6,47.4,0.998,1.138,0.651,0.616,405.56,12.3,18,57,0,18,33,0,60,22,0,0,13,9,0,0,27,8,0,0,7,1,0,0,30,0,0,1.8,0.067,4,42.0,56.876,64.85,37.108,35.133,0
7.495,6.655,33.9,51.6,0.996,1.148,0.623,0.584,412.61,12.9,12,62,0,12,33,0,65,21,0,0,8,13,0,0,32,9,0,0,8,1,0,0,30,0,0,1.6,0.062,4,39.0,61.745,71.178,38.637,36.208,0
6.644,7.385,37.5,45.8,1.007,1.14,0.647,0.62,354.46,12.5,12,48,0,14,28,0,50,18,0,0,10,8,2,0,22,8,0,0,6,2,0,0,26,0,0,4.2,0.08,4,36.0,48.334,54.73,31.034,29.772,0
6.194,6.894,34.6,50.0,1.002,1.145,0.626,0.593,358.5,11.5,12,52,0,12,28,0,54,18,0,0,8,10,0,0,26,8,0,0,6,2,0,0,26,0,0,3.8,0.074,4,34.0,52.101,59.561,32.557,30.826,0
7.745,7.13,36.0,48.0,1.004,1.143,0.636,0.606,356.48,12.0,12,50,0,13,28,0,52,18,0,0,9,9,1,0,24,8,0,0,6,2,0,0,26,0,0,4.0,0.077,4,35.0,50.218,57.145,31.796,30.299,0
7.749,6.894,34.6,50.0,1.002,1.145,0.626,0.593,358.5,11.5,12,52,0,12,28,0,54,18,0,0,8,10,0,0,26,8,0,0,6,2,0,0,26,0,0,3.8,0.074,4,34.0,52.101,59.561,32.557,30.826,0
8.301,7.01,34.0,48.9,1.002,1.149,0.629,0.597,329.46,14.9,12,47,0,12,26,0,49,16,0,0,7,9,0,0,23,8,0,0,7,1,0,0,24,0,0,2.1,0.061,3,32.0,47.109,54.019,29.586,28.079,0
7.699,7.049,33.3,49.0,1.006,1.15,0.624,0.595,359.49,13.7,12,51,0,12,28,0,53,17,0,0,7,10,0,0,25,9,0,0,7,2,0,0,26,0,0,3.9,0.075,4,34.0,51.32,58.644,31.802,30.321,0
8.301,7.13,36.0,48.0,1.004,1.143,0.636,0.606,356.48,12.0,12,50,0,13,28,0,52,18,0,0,9,9,1,0,24,8,0,0,6,2,0,0,26,0,0,4.0,0.077,4,35.0,50.218,57.145,31.796,30.299,0
7.569,6.894,34.6,50.0,1.002,1.145,0.626,0.593,358.5,11.5,12,52,0,12,28,0,54,18,0,0,8,10,0,0,26,8,0,0,6,2,0,0,26,0,0,3.8,0.074,4,34.0,52.101,59.561,32.557,30.826,0
8.097,6.894,34.6,50.0,1.002,1.145,0.626,0.593,358.5,11.5,12,52,0,12,28,0,54,18,0,0,8,10,0,0,26,8,0,0,6,2,0,0,26,0,0,3.8,0.074,4,34.0,52.101,59.561,32.557,30.826,0
7.77,6.894,34.6,50.0,1.002,1.145,0.626,0.593,358.5,11.5,12,52,0,12,28,0,54,18,0,0,8,10,0,0,26,8,0,0,6,2,0,0,26,0,0,3.8,0.074,4,34.0,52.101,59.561,32.557,30.826,0
7.959,7.173,36.4,47.3,1.002,1.144,0.643,0.611,394.54,14.5,17,55,0,17,32,0,58,20,0,0,11,9,0,0,26,9,0,0,8,1,0,0,29,0,0,1.8,0.069,4,40.5,55.094,62.933,35.353,33.627,0
