pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
4.0,8.264,34.0,45.3,1.014,1.142,0.666,0.629,438.01,13.2,6,53,0,9,31,0,55,18,1,1,7,10,2,0,24,11,2,0,7,2,0,1,29,1,1,3.8,0.109,6,38.0,53.72,60.508,35.307,33.335,1.9
6.629,6.336,34.8,54.3,0.993,1.141,0.615,0.571,291.44,6.5,0,46,0,2,23,0,48,16,0,1,1,14,1,0,25,5,0,0,3,2,0,0,21,1,0,4.3,0.083,4,26.0,45.68,52.481,28.302,26.289,0.0
7.638,6.336,34.8,54.3,0.993,1.141,0.615,0.571,291.44,6.5,0,46,0,2,23,0,48,16,0,1,1,14,1,0,25,5,0,0,3,2,0,0,21,1,0,4.3,0.083,4,26.0,45.68,52.481,28.302,26.289,0.0
5.845,6.655,35.4,52.1,1.0,1.139,0.62,0.583,319.45,6.3,0,48,0,3,25,0,50,17,0,1,2,14,2,0,25,6,0,0,3,3,0,0,23,1,0,6.3,0.1,5,29.0,48.007,54.69,29.756,28.003,0.0
4.0,6.759,33.3,52.1,1.006,1.152,0.609,0.577,324.45,8.3,0,48,0,3,24,0,49,16,0,1,2,13,2,1,25,7,0,0,4,2,0,0,23,1,1,4.2,0.102,5,28.0,48.294,55.319,29.245,27.693,2.1
4.699,6.948,32.7,51.0,1.013,1.154,0.606,0.58,340.45,8.2,0,49,0,3,25,0,50,16,0,1,2,13,2,1,25,8,0,0,4,3,0,0,24,1,1,6.1,0.1,5,29.0,49.621,56.528,29.699,28.408,2.0
4.699,6.948,32.7,51.0,1.013,1.154,0.606,0.58,340.45,8.2,0,49,0,3,25,0,50,16,0,1,2,13,2,1,25,8,0,0,4,3,0,0,24,1,1,6.1,0.1,5,29.0,49.621,56.528,29.699,28.408,2.0
4.699,7.134,33.3,50.0,1.017,1.16,0.608,0.585,342.44,8.3,0,48,0,3,25,0,49,16,0,1,2,13,2,2,24,8,0,0,4,2,0,0,24,1,2,4.2,0.102,5,29.0,48.807,55.659,29.182,28.077,4.2
5.447,6.336,34.8,54.3,0.993,1.141,0.615,0.571,291.44,6.5,0,46,0,2,23,0,48,16,0,1,1,14,1,0,25,5,0,0,3,2,0,0,21,1,0,4.3,0.083,4,26.0,45.68,52.481,28.302,26.289,0.0
5.427,6.234,34.7,55.1,0.991,1.141,0.614,0.568,305.47,6.1,0,49,0,2,24,0,51,17,0,1,1,15,1,0,27,5,0,0,3,2,0,0,22,1,0,4.1,0.098,5,27.0,48.563,55.896,30.063,27.815,0.0
5.075,6.575,34.0,52.8,1.0,1.143,0.614,0.576,348.5,7.5,0,53,0,3,27,0,55,18,0,1,2,15,2,0,28,7,0,0,4,3,0,0,25,1,0,5.7,0.091,5,31.0,52.992,60.604,32.523,30.552,0.0
4.895,6.382,33.9,54.2,0.996,1.143,0.611,0.57,376.56,6.8,0,59,0,3,29,0,61,20,0,1,2,17,2,0,32,7,0,0,4,3,0,0,27,1,0,5.1,0.115,7,33.0,58.76,67.434,36.046,33.605,0.0
4.699,7.499,40.7,48.1,1.003,1.131,0.66,0.621,404.95,3.7,6,54,0,9,30,0,56,22,1,2,8,12,2,1,26,6,1,0,2,2,0,0,28,1,2,3.7,0.107,6,37.0,54.181,61.097,35.614,33.532,3.7
4.699,6.385,33.3,54.2,0.995,1.145,0.611,0.569,306.46,8.3,0,48,0,3,23,0,49,16,0,1,2,13,2,0,26,6,0,0,4,2,0,0,22,1,0,4.2,0.102,5,27.0,47.781,54.979,29.307,27.31,0.0
4.739,6.818,34.0,51.1,1.005,1.144,0.617,0.585,320.44,8.5,0,47,0,3,25,0,49,16,0,1,2,13,2,0,24,7,0,0,4,3,0,0,23,1,0,6.4,0.082,4,29.0,47.225,53.773,29.0,27.498,0.0
5.311,6.436,33.3,53.7,0.996,1.146,0.612,0.571,347.52,9.3,0,54,0,3,27,0,56,18,0,1,2,15,2,0,29,7,0,0,5,2,0,0,25,1,0,3.7,0.054,3,31.0,53.767,61.893,33.074,30.858,0.0
4.415,6.436,33.3,53.7,0.996,1.146,0.612,0.571,347.52,9.3,0,54,0,3,27,0,56,18,0,1,2,15,2,0,29,7,0,0,5,2,0,0,25,1,0,3.7,0.054,3,31.0,53.767,61.893,33.074,30.858,0.0
5.101,6.451,34.9,53.5,0.995,1.141,0.617,0.576,277.41,7.0,0,43,0,2,22,0,45,15,0,1,1,13,1,0,23,5,0,0,3,2,0,0,20,1,0,4.7,0.067,3,25.0,42.796,49.066,26.54,24.762,0.0
4.699,6.74,34.6,51.9,1.003,1.149,0.616,0.581,350.49,7.7,0,52,0,3,27,0,54,18,0,1,2,15,2,1,27,7,0,0,4,2,0,0,25,1,1,3.8,0.093,5,31.0,52.178,59.734,32.006,30.22,1.9
4.699,6.637,33.3,52.9,1.003,1.152,0.608,0.573,338.48,7.8,0,51,0,3,25,0,52,17,0,1,2,14,2,1,27,7,0,0,4,2,0,0,24,1,1,3.9,0.115,6,29.0,51.178,58.734,31.006,29.22,2.0
4.699,6.637,33.3,52.9,1.003,1.152,0.608,0.573,338.48,7.8,0,51,0,3,25,0,52,17,0,1,2,14,2,1,27,7,0,0,4,2,0,0,24,1,1,3.9,0.096,5,29.0,51.178,58.734,31.006,29.22,2.0
4.699,6.867,34.7,51.0,1.006,1.149,0.617,0.586,336.46,8.2,0,49,0,4,25,0,50,17,0,1,4,12,3,1,25,7,0,0,4,2,0,0,24,1,1,4.1,0.1,5,30.0,49.294,56.319,30.245,28.693,2.0
4.76,6.539,33.3,52.9,0.998,1.147,0.614,0.575,333.49,9.8,0,51,0,3,26,0,53,17,0,1,2,14,2,0,27,7,0,0,5,2,0,0,24,1,0,3.9,0.057,3,30.0,50.883,58.478,31.313,29.331,0.0
4.699,7.259,35.7,48.2,1.015,1.146,0.623,0.601,406.51,7.1,6,56,0,9,30,0,57,20,0,1,8,11,2,1,27,9,0,0,4,4,0,0,29,1,1,7.1,0.14,8,37.0,56.832,64.153,34.915,33.65,1.8
4.699,7.392,36.2,46.8,1.013,1.149,0.633,0.61,347.44,10.6,6,47,0,9,26,0,48,17,0,1,7,9,2,1,22,8,0,0,5,2,0,0,25,1,1,4.3,0.125,6,33.0,47.629,53.987,29.728,28.661,2.1
4.699,7.049,34.0,50.0,1.012,1.151,0.614,0.588,352.46,8.0,0,50,0,4,26,0,51,17,0,1,3,13,3,1,25,8,0,0,4,3,0,0,25,1,1,6.0,0.098,5,31.0,50.621,57.528,30.699,29.408,2.0
4.699,6.948,32.7,51.0,1.013,1.154,0.606,0.58,340.45,8.2,0,49,0,3,25,0,50,16,0,1,2,13,2,1,25,8,0,0,4,3,0,0,24,1,1,6.1,0.1,5,29.0,49.621,56.528,29.699,28.408,2.0
4.699,7.401,35.3,47.1,1.016,1.149,0.626,0.606,377.47,9.8,6,51,0,9,28,0,52,18,0,1,7,10,2,1,24,9,0,0,5,3,0,0,27,1,1,5.9,0.135,7,35.0,51.84,58.611,31.944,30.903,2.0
4.699,6.637,33.3,52.9,1.003,1.152,0.608,0.573,338.48,7.8,0,51,0,3,25,0,52,17,0,1,2,14,2,1,27,7,0,0,4,2,0,0,24,1,1,3.9,0.096,5,29.0,51.178,58.734,31.006,29.22,2.0
4.699,7.445,32.6,50.0,1.011,1.148,0.633,0.595,342.49,8.7,0,46,0,3,24,0,47,15,0,1,2,12,2,1,23,8,1,0,4,2,0,1,23,1,1,4.3,0.106,5,28.0,46.487,52.824,29.131,27.354,2.2
4.699,7.457,30.4,50.0,1.018,1.153,0.617,0.587,417.57,8.9,0,56,0,5,29,0,57,17,0,1,2,14,4,1,28,11,1,0,5,4,0,1,28,1,1,7.1,0.105,6,35.0,57.011,64.571,34.569,32.858,1.8
4.699,6.67,32.1,52.8,1.005,1.155,0.604,0.571,353.5,9.4,0,53,0,3,26,0,54,17,0,1,2,14,2,1,28,8,0,0,5,2,0,0,25,1,1,3.8,0.093,5,30.0,53.28,61.232,32.012,30.242,1.9
4.699,6.975,32.2,50.8,1.014,1.154,0.605,0.58,411.54,8.5,0,59,0,4,30,0,60,19,0,1,3,15,3,1,30,10,0,0,5,4,0,0,29,1,1,6.8,0.117,7,35.0,59.818,68.066,35.682,34.198,1.7
4.699,6.528,33.3,53.7,1.001,1.151,0.607,0.569,352.51,7.4,0,54,0,3,26,0,55,18,0,1,2,15,2,1,29,7,0,0,4,2,0,0,25,1,1,3.7,0.091,5,30.0,54.061,62.149,32.768,30.747,1.9
4.699,6.817,32.7,51.9,1.01,1.153,0.605,0.576,354.48,7.7,0,52,0,3,26,0,53,17,0,1,2,14,2,1,27,8,0,0,4,3,0,0,25,1,1,5.8,0.113,6,30.0,52.505,59.944,31.461,29.935,1.9
4.699,6.581,32.7,53.1,1.002,1.147,0.607,0.572,322.46,8.2,0,49,0,3,24,0,50,16,0,1,2,13,2,0,26,7,0,0,4,3,0,0,23,1,0,6.1,0.1,5,28.0,49.109,56.189,29.762,28.025,0.0
5.523,7.402,39.2,45.1,1.002,1.138,0.659,0.629,377.5,13.7,11,51,0,14,31,0,54,20,0,1,11,8,2,0,23,8,0,0,7,1,0,0,28,1,0,2.0,0.074,4,40.5,51.109,58.019,33.586,32.079,0.0
5.523,7.567,38.5,44.2,1.008,1.139,0.655,0.631,393.5,13.5,11,52,0,14,32,0,55,20,0,1,11,8,2,0,23,9,0,0,7,2,0,0,29,1,0,3.8,0.055,3,41.5,52.436,59.229,34.04,32.794,0.0
4.523,7.567,38.5,44.2,1.008,1.139,0.655,0.631,393.5,13.5,11,52,0,14,32,0,55,20,0,1,11,8,2,0,23,9,0,0,7,2,0,0,29,1,0,3.8,0.055,3,41.5,52.436,59.229,34.04,32.794,0.0
5.523,7.754,40.4,42.6,1.01,1.134,0.665,0.644,364.45,12.8,11,47,0,14,30,0,50,19,0,1,11,7,2,0,20,8,0,0,6,2,0,0,27,1,0,4.3,0.06,3,39.5,47.451,53.315,31.273,30.246,0.0
4.523,8.416,44.4,38.9,1.027,1.14,0.673,0.665,454.49,7.4,17,54,0,19,37,0,58,24,0,0,17,7,2,3,21,9,0,0,4,2,0,0,33,0,3,3.7,0.052,3,47.5,55.436,61.583,36.358,35.933,5.6
5.523,7.572,39.6,43.8,1.005,1.138,0.663,0.637,363.47,14.6,11,48,0,14,30,0,51,19,0,1,11,7,2,0,21,8,0,0,7,1,0,0,27,1,0,2.1,0.059,3,39.5,48.225,54.604,31.824,30.552,0.0
4.149,7.556,39.6,47.2,1.002,1.123,0.673,0.625,400.45,3.8,12,53,0,14,31,0,56,21,0,0,13,8,2,0,25,7,1,0,2,4,1,0,28,0,0,7.5,0.107,6,39.0,53.091,59.54,35.648,33.147,0.0
4.276,7.17,35.7,48.2,1.01,1.141,0.629,0.603,401.52,8.9,6,56,0,9,31,0,58,20,0,1,8,11,2,0,27,9,0,0,5,4,0,0,29,1,0,7.1,0.138,8,38.0,56.538,63.896,35.222,33.761,0.0
6.479,9.205,41.1,35.7,1.056,1.172,0.65,0.666,515.48,8.9,17,56,0,18,39,0,59,23,0,0,15,8,1,7,20,13,0,0,5,1,0,0,36,0,7,1.8,0.102,6,48.5,59.145,65.646,36.421,37.3,12.5
4.481,7.528,38.9,46.3,1.016,1.152,0.638,0.616,406.5,7.4,11,54,0,12,32,0,57,21,0,0,10,11,1,3,25,8,0,0,4,1,0,0,29,0,3,1.9,0.088,5,38.5,54.876,62.204,34.427,33.272,5.6
5.276,9.946,47.6,35.7,1.013,1.113,0.76,0.72,417.74,9.5,22,42,0,22,30,0,45,20,3,0,18,2,0,0,15,7,3,0,4,0,0,0,27,0,3,0.0,0.067,3,41.0,42.564,46.732,31.926,30.256,7.1
5.143,9.946,47.6,35.7,1.013,1.113,0.76,0.72,417.74,9.5,22,42,0,22,30,0,45,20,3,0,18,2,0,0,15,7,3,0,4,0,0,0,27,0,3,0.0,0.067,3,41.0,42.564,46.732,31.926,30.256,7.1
5.328,9.946,47.6,35.7,1.013,1.113,0.76,0.72,417.74,9.5,22,42,0,22,30,0,45,20,3,0,18,2,0,0,15,7,3,0,4,0,0,0,27,0,3,0.0,0.067,3,41.0,42.564,46.732,31.926,30.256,7.1
5.569,8.83,46.7,40.0,1.003,1.116,0.73,0.688,397.33,8.9,22,45,0,22,30,0,48,21,2,0,18,3,0,0,18,6,2,0,4,0,0,0,27,0,2,0.0,0.063,3,41.0,45.123,50.203,32.83,30.955,4.4
5.469,8.985,45.7,39.1,1.01,1.118,0.724,0.688,413.33,8.7,22,46,0,22,31,0,49,21,2,0,18,3,0,0,18,7,2,0,4,1,0,0,28,0,2,2.2,0.082,4,42.0,46.451,51.412,33.284,31.67,4.3
5.886,8.985,45.7,39.1,1.01,1.118,0.724,0.688,413.33,8.7,22,46,0,22,31,0,49,21,2,0,18,3,0,0,18,7,2,0,4,1,0,0,28,0,2,2.2,0.082,4,42.0,46.451,51.412,33.284,31.67,4.3
5.107,8.985,45.7,39.1,1.01,1.118,0.724,0.688,413.33,8.7,22,46,0,22,31,0,49,21,2,0,18,3,0,0,18,7,2,0,4,1,0,0,28,0,2,2.2,0.082,4,42.0,46.451,51.412,33.284,31.67,4.3
4.523,9.178,42.9,40.0,1.01,1.125,0.723,0.683,321.23,11.4,16,35,0,16,23,0,37,15,2,0,12,3,0,0,14,6,2,0,4,0,0,0,21,0,2,0.0,0.054,2,31.0,35.356,39.372,25.307,23.901,5.7
4.523,9.126,47.6,38.1,1.006,1.114,0.74,0.701,383.3,9.5,22,42,0,22,29,0,45,20,2,0,18,2,0,0,16,6,2,0,4,0,0,0,26,0,2,0.0,0.067,3,40.0,42.24,46.788,31.068,29.428,4.8
4.523,9.126,47.6,38.1,1.006,1.114,0.74,0.701,383.3,9.5,22,42,0,22,29,0,45,20,2,0,18,2,0,0,16,6,2,0,4,0,0,0,26,0,2,0.0,0.067,3,40.0,42.24,46.788,31.068,29.428,4.8
4.523,9.082,42.5,40.0,1.014,1.125,0.713,0.679,363.27,10.0,16,40,0,17,26,0,42,17,2,0,13,4,1,0,16,7,2,0,4,1,0,0,24,0,2,2.5,0.095,4,35.0,40.567,44.997,28.523,27.143,5.0
5.155,8.83,46.7,40.0,1.003,1.116,0.73,0.688,397.33,8.9,22,45,0,22,30,0,48,21,2,0,18,3,0,0,18,6,2,0,4,0,0,0,27,0,2,0.0,0.063,3,41.0,45.123,50.203,32.83,30.955,4.4
5.167,9.946,47.6,35.7,1.013,1.113,0.76,0.72,417.74,9.5,22,42,0,22,30,0,45,20,3,0,18,2,0,0,15,7,3,0,4,0,0,0,27,0,3,0.0,0.067,3,41.0,42.564,46.732,31.926,30.256,7.1
4.523,9.571,46.2,35.9,1.018,1.117,0.737,0.708,373.26,10.3,21,39,0,21,28,0,42,18,2,0,16,2,0,0,14,7,2,0,4,1,0,0,25,0,2,2.6,0.071,3,38.5,39.684,43.582,28.762,27.616,5.1
5.201,9.946,47.6,35.7,1.013,1.113,0.76,0.72,417.74,9.5,22,42,0,22,30,0,45,20,3,0,18,2,0,0,15,7,3,0,4,0,0,0,27,0,3,0.0,0.067,3,41.0,42.564,46.732,31.926,30.256,7.1
5.26,8.985,45.7,39.1,1.01,1.118,0.724,0.688,413.33,8.7,22,46,0,22,31,0,49,21,2,0,18,3,0,0,18,7,2,0,4,1,0,0,28,0,2,2.2,0.082,4,42.0,46.451,51.412,33.284,31.67,4.3
4.523,8.83,46.7,40.0,1.003,1.116,0.73,0.688,397.33,8.9,22,45,0,22,30,0,48,21,2,0,18,3,0,0,18,6,2,0,4,0,0,0,27,0,2,0.0,0.063,3,41.0,45.123,50.203,32.83,30.955,4.4
