pXC50,AMW,Si,Se,nHM,nAT,nBT
7.658,9.987,61.331,56.993,3,54,55
6.319,9.244,42.966,39.545,1,38,39
6.839,9.147,48.591,44.756,1,43,44
6.319,9.874,60.121,55.666,3,53,54
6.893,9.482,45.176,41.873,1,40,41
6.854,9.641,46.385,43.2,1,41,42
7.602,11.009,50.853,48.335,3,45,46
6.306,11.59,61.469,58.447,4,55,59
6.553,7.24,76.165,66.96,1,67,70
4.234,11.009,50.853,48.335,3,45,47
7.444,9.887,47.524,44.058,2,42,43
6.481,9.844,48.594,45.527,1,43,44
7.3,10.104,46.454,41.2,1,41,42
6.4,7.22,43.318,38.247,0,38,39
7.0,7.034,46.734,41.131,0,41,42
7.6,8.126,43.262,38.571,1,38,39
7.0,9.517,66.952,59.567,2,59,61
8.0,9.874,51.079,45.411,1,45,46
6.2,7.676,44.402,39.465,0,39,40
7.2,9.549,54.494,48.294,1,48,49
6.6,9.638,52.368,46.185,1,46,47
6.4,8.791,68.238,60.047,1,60,62
7.2,8.835,66.112,57.938,1,58,60
5.0,6.987,51.149,45.014,0,45,47
5.0,7.076,51.358,45.342,0,45,46
5.0,7.358,48.943,43.458,0,43,44
6.4,10.701,40.541,36.214,1,36,37
7.8,9.549,54.494,48.294,1,48,49
8.0,9.517,57.992,51.396,1,51,52
7.8,10.128,56.623,50.698,2,50,51
6.8,9.065,59.198,51.952,1,52,53
7.0,8.01,50.072,44.862,1,44,45
6.8,7.565,51.315,45.451,0,45,47
5.0,7.286,53.73,47.334,0,47,49
6.8,9.008,64.823,57.163,1,57,59
6.9,9.315,58.909,52.178,1,52,54
5.6,10.237,43.956,39.098,1,39,40
7.1,10.961,50.889,45.621,1,44,45
8.0,9.549,54.494,48.294,1,48,49
7.9,9.549,54.494,48.294,1,48,49
8.1,9.68,55.703,49.622,1,49,50
8.699,9.68,55.703,49.622,1,49,50
7.4,10.533,43.039,38.316,1,38,39
6.3,6.733,53.564,46.898,0,47,48
5.9,7.152,47.734,42.131,0,42,44
5.0,6.733,53.564,46.898,0,47,48
8.2,9.392,59.119,52.505,1,52,53
7.0,9.262,57.909,51.178,1,51,52
8.0,9.135,62.534,55.389,1,55,56
5.0,7.22,43.318,38.247,0,38,39
5.8,7.034,46.734,41.131,0,41,42
6.9,6.873,50.149,44.014,0,44,45
6.8,7.445,44.528,39.574,0,39,40
7.6,7.247,47.943,42.458,0,42,43
5.4,7.186,38.694,34.036,0,34,35
5.0,7.676,44.402,39.465,0,39,40
5.5,7.693,43.658,38.76,0,38,39
6.0,7.301,54.149,48.014,0,48,50
7.7,9.296,43.16,38.476,1,38,39
8.2,7.459,45.318,40.247,0,40,41
5.0,6.733,53.564,46.898,0,47,48
6.8,7.765,46.737,41.902,0,41,42
7.3,6.873,50.149,44.014,0,44,45
5.8,7.22,43.318,38.247,0,38,39
5.0,6.873,50.149,44.014,0,44,45
7.0,7.557,48.026,42.676,0,42,43
7.4,7.963,49.481,43.887,0,43,45
5.6,7.676,54.489,48.527,0,48,50
6.6,8.669,67.029,58.72,1,59,61
7.1,9.296,43.16,38.476,1,38,39
8.2,9.549,54.494,48.294,1,48,49
5.0,9.734,49.869,44.083,1,44,45
5.0,6.873,50.149,44.014,0,44,45
7.886,10.533,43.039,38.316,1,38,39
5.9,7.3,70.731,62.381,0,62,65
5.7,7.069,76.597,67.425,0,68,72
6.0,7.307,72.265,63.76,0,64,68
5.6,7.179,74.146,65.265,0,65,68
5.3,7.379,73.265,64.76,0,65,69
6.7,7.694,67.77,59.952,1,60,64
5.3,7.26,63.561,56.101,0,56,59
6.3,8.745,64.449,57.298,1,57,60
5.9,7.307,72.265,63.76,0,64,68
6.3,6.995,74.853,65.719,0,66,69
6.9,7.361,64.608,57.069,0,57,60
7.3,7.3,70.731,62.381,0,62,65
5.0,6.962,71.937,62.938,0,63,66
5.0,7.817,75.185,66.836,1,67,72
7.0,7.467,64.398,56.96,1,57,60
7.4,7.327,67.813,59.843,1,60,63
5.0,7.189,75.68,66.643,0,67,71
5.9,7.252,74.182,65.541,0,66,70
5.8,7.168,71.648,63.163,0,63,66
6.3,7.3,70.731,62.381,0,62,65
7.0,7.333,67.069,59.138,1,59,61
6.0,7.199,66.442,58.607,0,58,60
6.0,7.307,72.265,63.76,0,64,68
5.0,7.089,71.983,63.6,0,63,65
5.0,7.025,71.774,63.272,0,63,66
5.7,7.55,71.185,62.836,1,63,67
6.3,7.55,71.185,62.836,1,63,67
5.0,7.426,68.059,60.203,0,60,64
5.0,7.433,67.316,59.498,0,59,62
5.0,7.179,74.146,65.265,0,65,68
5.0,7.3,70.731,62.381,0,62,65
7.5,7.467,64.398,56.96,1,57,60
5.0,7.693,70.686,62.734,1,63,67
5.0,7.168,71.648,63.163,0,63,66
5.0,7.168,71.648,63.163,0,63,66
5.4,7.438,70.976,62.985,0,63,67
5.7,7.307,71.893,63.767,0,64,68
6.2,7.307,71.893,63.767,0,64,68
6.4,7.666,75.778,67.349,0,67,71
6.4,7.06,67.359,59.389,0,59,61
5.7,7.3,70.731,62.381,0,62,65
5.0,7.075,69.857,61.49,0,61,63
7.2,7.994,68.109,60.465,1,60,64
5.0,7.179,74.146,65.265,0,65,68
5.0,7.694,67.77,59.952,1,60,64
5.0,7.543,68.488,60.792,1,60,62
5.0,7.656,73.604,65.272,0,65,70
5.0,7.09,70.648,62.163,0,62,65
7.4,7.782,64.737,57.472,1,57,60
6.2,7.627,68.152,60.356,1,60,63
5.9,7.438,70.976,62.985,0,63,67
6.6,7.01,70.391,61.869,0,62,65
5.6,7.438,71.568,63.716,0,63,66
6.62,11.118,52.063,49.662,3,46,47
4.078,11.118,52.063,49.662,3,46,47
