pXC50,nCsp,nTB,C.,SCBO,Mi,nBM,nC,nCsp2,Mv,Me,nAB,RBF,Sp,RBN,nDB,nN,O.,Sv,nBO
4.745,0,0,27.3,12.0,1.155,2,6,2,0.569,1.038,0,0.19,12.631,4,2,1,18.2,12.515,10
5.796,0,0,33.3,15.0,1.143,2,7,2,0.618,1.045,0,0.091,12.869,2,2,1,19.0,12.988,13
4.721,0,0,39.5,29.0,1.128,8,17,8,0.608,1.006,6,0.111,27.438,5,2,1,9.3,26.149,24
4.602,0,0,33.3,20.0,1.141,2,12,2,0.573,1.01,0,0.108,21.676,4,2,1,11.1,20.622,18
4.854,0,0,33.3,21.0,1.141,2,13,2,0.568,1.006,0,0.125,23.438,5,2,1,10.3,22.149,19
4.678,0,0,38.6,30.0,1.129,8,17,8,0.611,1.013,6,0.109,27.892,5,2,1,11.4,26.863,25
4.77,0,0,39.5,30.0,1.126,8,17,8,0.627,1.013,6,0.111,28.296,5,2,1,9.3,26.976,25
7.77,0,0,40.4,40.0,1.149,15,19,15,0.664,1.057,12,0.167,30.404,8,3,2,12.8,31.223,31
5.854,0,0,39.5,29.0,1.128,8,17,8,0.608,1.006,6,0.111,27.438,5,2,1,9.3,26.149,24
6.155,0,0,44.7,32.0,1.119,14,17,14,0.655,1.01,12,0.1,25.705,4,2,2,7.9,24.875,24
7.79,0,0,40.4,37.0,1.127,15,19,15,0.64,1.024,12,0.167,30.591,8,3,2,12.8,30.073,28
6.886,0,0,42.1,34.0,1.138,14,16,14,0.694,1.051,12,0.154,26.387,6,2,2,10.5,26.381,26
5.886,0,0,41.7,29.5,1.124,13,15,12,0.647,1.026,11,0.162,23.608,6,2,1,13.9,23.283,22
5.658,0,0,41.7,29.5,1.124,13,15,12,0.647,1.026,11,0.162,23.608,6,2,1,13.9,23.283,22
5.699,0,0,25.0,12.0,1.16,2,5,2,0.585,1.064,0,0.211,11.324,4,2,1,25.0,11.703,10
