pXC50,nH,RBN,Se,Si
8.0,23,7,48.796,55.066
8.097,23,7,52.451,58.485
6.602,27,8,58.563,65.896
8.222,25,7,54.68,61.481
6.903,29,9,61.774,69.521
8.523,25,7,54.68,61.481
8.097,27,8,58.891,66.106
8.523,25,7,56.007,62.69
8.0,22,7,51.342,57.358
7.0,22,7,51.091,57.069
7.398,21,7,45.912,51.651
7.585,21,7,45.912,51.651
6.854,23,7,51.796,58.066
7.301,23,7,51.796,58.066
6.0,24,7,53.905,60.192
6.0,26,7,55.461,62.398
7.434,29,9,61.774,69.521
6.475,23,7,49.123,55.275
8.097,29,10,63.101,70.73
7.0,31,10,64.658,72.936
7.602,29,9,61.774,69.521
7.114,26,8,58.109,65.189
7.404,31,7,57.003,65.517
7.268,32,8,61.432,70.225
7.301,27,7,55.236,62.687
7.745,29,9,61.774,69.521
7.268,35,9,68.098,77.557
7.432,30,8,62.549,70.81
7.301,24,6,52.571,59.355
6.523,23,6,51.796,58.066
9.456,27,8,57.563,64.896
6.699,31,10,63.33,71.727
6.854,33,11,66.214,75.142
6.538,29,8,60.447,68.311
6.398,29,9,64.447,72.311
7.921,26,6,55.454,62.77
6.921,30,7,61.221,69.6
7.125,28,6,58.338,66.185
7.398,27,7,56.563,63.896
9.49,24,7,53.898,60.564
6.0,22,6,51.014,57.149
6.456,25,6,54.672,61.853
7.436,35,7,68.098,77.557
6.395,27,8,54.891,62.106
7.222,35,11,66.425,75.766
8.854,35,10,67.425,76.766
7.46,27,8,55.891,63.106
8.796,35,9,67.425,76.766
7.398,29,8,58.774,66.521
6.903,37,9,70.309,80.182
8.523,33,9,63.541,72.351
7.951,33,8,64.541,73.351
8.377,33,9,64.541,73.351
7.699,29,8,57.774,65.521
8.301,33,10,63.541,72.351
7.469,31,8,62.985,71.145
8.886,31,9,60.658,68.936
6.234,31,8,61.658,69.936
8.046,31,9,60.658,68.936
6.602,22,7,49.309,55.405
6.347,22,7,49.12,55.01
7.796,25,7,51.68,58.481
8.027,22,7,53.218,59.5
6.155,25,8,53.007,59.69
6.0,22,7,50.014,56.149
7.0,22,8,51.669,57.568
7.347,29,10,61.429,68.94
7.854,29,8,58.774,66.521
8.244,21,7,48.243,53.99
6.301,20,7,47.462,53.074
8.174,22,7,51.669,57.568
7.046,25,7,51.68,58.481
8.0,25,7,55.334,61.9
7.886,22,7,48.014,54.149
7.022,24,8,53.225,59.773
6.0,21,6,45.912,51.651
7.071,20,7,48.785,54.152
6.699,24,6,49.571,56.355
6.602,26,7,52.454,59.77
6.0,26,7,53.781,60.979
6.0,23,6,49.894,56.299
6.0,23,6,48.789,55.438
8.142,32,6,62.105,71.015
8.301,23,7,49.538,56.148
6.684,32,7,59.112,67.643
5.222,32,7,59.112,67.643
5.658,15,3,37.033,41.428
7.149,26,7,56.454,63.77
7.842,32,8,65.432,74.225
7.319,28,8,59.665,67.394
7.518,29,8,57.774,65.521
6.815,31,11,65.985,74.145
7.328,30,8,58.549,66.81
7.456,34,8,64.316,73.64
7.921,27,8,58.891,66.106
8.137,31,8,61.658,69.936
7.432,33,10,63.541,72.351
7.331,31,8,62.985,71.145
7.585,31,8,60.658,68.936
5.189,13,3,35.149,39.013
8.329,27,8,58.891,66.106
4.456,17,4,36.491,41.401
5.301,18,5,42.592,47.9
5.301,19,5,43.374,48.817
4.824,19,4,42.374,47.817
5.155,17,4,43.818,48.611
5.824,18,5,45.669,50.82
4.301,16,4,35.709,40.484
5.602,19,5,46.694,52.398
5.347,17,4,39.818,44.611
8.0,23,6,49.538,56.148
6.0,23,5,50.141,56.647
6.301,21,5,49.258,55.232
6.046,18,5,45.92,51.109
8.411,30,6,56.229,64.228
