pXC50,Me,nCsp3,C.,nBO,nBT,Sv,O.,nF,X.,MW,nBM,Si,Se,nAT,nSK,nH,nS
6.213,1.009,1,48.8,30,46,30.037,2.3,1,2.3,377.47,24,47.87,43.407,43,27,16,1
5.0,1.001,1,50.0,28,43,28.074,0.0,0,2.5,346.84,23,44.428,40.033,40,25,15,0
5.285,0.995,11,40.8,43,80,46.68,3.9,0,0.0,527.73,23,85.763,75.629,76,39,37,0
5.0,1.034,4,43.6,27,41,27.598,5.1,2,10.3,478.68,13,44.081,40.345,39,25,14,0
7.523,1.027,6,44.8,47,72,45.193,1.5,4,6.0,575.62,29,76.624,68.81,67,42,25,0
9.301,1.01,6,46.9,45,70,43.209,3.1,1,1.6,520.61,29,71.9,64.614,64,39,25,0
9.0,1.001,8,45.6,45,74,44.548,1.5,1,1.5,520.66,28,76.521,68.054,68,39,29,0
6.857,1.028,5,44.9,47,73,46.438,5.8,3,4.3,589.62,30,78.331,70.96,69,43,26,0
7.469,1.023,4,45.5,45,70,44.503,3.0,3,4.5,558.61,30,74.995,67.523,66,41,25,0
7.398,1.023,4,45.5,45,70,44.503,3.0,3,4.5,558.61,30,74.995,67.523,66,41,25,0
7.42,1.014,7,45.1,47,76,46.841,1.4,3,4.2,570.67,29,80.616,71.963,71,42,29,0
7.357,1.019,6,44.8,46,72,44.809,1.5,3,4.5,557.63,29,76.284,68.298,67,41,26,0
6.66,1.018,8,43.7,47,76,46.556,2.8,3,4.2,574.66,28,80.825,72.29,71,42,29,0
8.06,1.005,6,46.8,43,68,41.494,1.6,1,1.6,492.6,28,69.691,62.287,62,37,25,0
6.075,1.014,9,43.5,44,73,44.841,1.4,3,4.3,546.65,24,78.616,69.963,69,40,29,0
6.511,1.021,3,47.5,41,63,40.24,1.7,3,5.1,501.55,29,66.872,60.21,59,37,22,0
7.009,1.038,2,46.2,39,56,36.395,3.8,3,5.8,478.47,28,59.334,53.989,52,35,17,0
7.745,1.048,1,47.9,38,52,34.537,2.1,4,8.3,466.43,28,55.049,50.291,48,34,14,0
7.377,1.044,1,47.9,38,52,34.981,2.1,3,8.3,482.88,28,54.654,50.102,48,34,14,0
5.0,1.031,3,45.2,44,66,42.856,4.8,3,4.8,565.62,31,70.211,63.941,62,40,22,1
9.046,0.995,7,46.2,43,71,42.638,1.5,0,0.0,488.64,28,72.766,64.658,65,37,28,0
8.086,0.995,7,46.2,43,71,42.638,1.5,0,0.0,488.64,28,72.766,64.658,65,37,28,0
7.678,1.003,7,46.2,44,71,43.021,1.5,1,1.5,506.63,28,73.106,65.17,65,38,27,0
9.292,1.003,7,46.2,44,71,43.021,1.5,1,1.5,506.63,28,73.106,65.17,65,38,27,0
7.921,0.996,6,46.8,42,68,41.111,1.6,0,0.0,474.61,28,69.351,61.774,62,36,26,0
9.357,1.005,6,46.8,43,68,41.494,1.6,1,1.6,492.6,28,69.691,62.287,62,37,25,0
6.258,1.02,8,44.6,43,69,43.008,3.1,3,4.6,533.6,24,73.912,66.305,65,39,26,0
7.77,0.993,8,45.6,44,74,44.165,1.5,0,0.0,502.67,28,76.182,67.541,68,38,30,0
9.495,1.0,7,46.2,44,71,43.465,1.5,0,1.5,523.08,28,72.71,64.981,65,38,27,0
9.495,1.002,6,46.8,43,68,41.939,1.6,0,1.6,509.05,28,69.295,62.098,62,37,25,0
9.495,1.005,6,46.8,43,68,41.494,1.6,1,1.6,492.6,28,69.691,62.287,62,37,25,0
9.495,1.003,7,46.2,44,71,43.021,1.5,1,1.5,506.63,28,73.106,65.17,65,38,27,0
7.076,1.037,1,47.9,37,52,34.154,2.1,3,6.3,448.44,28,54.71,49.778,48,33,15,0
6.406,1.02,7,43.9,45,71,43.809,1.5,3,4.5,545.62,28,75.284,67.298,66,40,26,0
6.487,1.037,1,50.0,37,52,34.353,4.2,3,6.3,448.43,28,54.338,49.785,48,33,15,0
6.441,1.023,6,46.0,44,68,42.481,3.2,3,4.8,531.58,28,71.497,64.421,63,39,24,0
4.699,1.004,2,50.0,26,40,26.434,2.6,0,0.0,314.37,16,42.279,38.153,38,24,14,0
7.244,1.032,1,49.1,41,59,38.901,3.6,3,5.5,501.5,30,62.251,56.771,55,37,18,0
9.0,0.995,7,46.2,43,71,42.638,1.5,0,0.0,488.64,28,72.766,64.658,65,37,28,0
9.495,0.995,7,46.2,43,71,42.638,1.5,0,0.0,488.64,28,72.766,64.658,65,37,28,0
9.31,0.998,5,47.5,41,65,39.584,1.7,0,0.0,460.58,28,65.936,58.891,59,35,24,0
9.495,0.996,6,46.8,42,68,41.111,1.6,0,0.0,474.61,28,69.351,61.774,62,36,26,0
9.495,1.005,6,46.8,43,68,41.494,1.6,1,1.6,492.6,28,69.691,62.287,62,37,25,0
7.62,1.018,4,46.8,42,66,41.766,1.6,3,4.8,515.58,29,70.287,63.094,62,38,24,0
5.0,1.018,3,48.5,23,35,23.906,3.0,0,9.1,340.64,13,36.446,33.585,33,21,12,0
8.824,0.995,7,46.2,43,71,42.638,1.5,0,0.0,488.64,28,72.766,64.658,65,37,28,0
7.699,1.015,6,47.0,45,71,44.293,1.5,3,4.5,541.62,29,74.702,66.978,66,40,26,0
6.947,1.031,1,50.0,38,54,35.659,2.0,3,6.0,459.46,29,56.626,51.56,50,34,16,0
9.42,0.996,6,46.8,42,68,41.111,1.6,0,0.0,474.61,28,69.351,61.774,62,36,26,0
6.951,1.032,1,48.1,39,56,36.681,1.9,3,5.8,474.48,29,59.125,53.661,52,35,17,0
7.523,1.02,5,43.9,44,70,43.809,1.5,3,4.5,545.62,29,75.284,67.298,66,40,26,0
7.585,1.015,5,46.2,43,69,43.293,1.5,3,4.6,529.61,29,73.702,65.978,65,39,26,0
6.932,1.018,4,46.8,42,66,41.766,1.6,3,4.8,515.58,29,70.287,63.094,62,38,24,0
7.357,1.018,4,46.8,42,66,41.766,1.6,3,4.8,515.58,29,70.287,63.094,62,38,24,0
6.026,1.03,5,45.2,45,67,42.47,3.2,3,4.8,545.57,29,70.663,63.858,62,40,22,0
6.498,1.015,5,46.2,43,69,43.293,1.5,3,4.6,529.61,29,73.702,65.978,65,39,26,0
8.013,0.998,8,45.6,45,74,44.992,1.5,0,1.5,537.11,28,76.126,67.865,68,39,29,0
8.699,0.993,8,45.6,44,74,44.165,1.5,0,0.0,502.67,28,76.182,67.541,68,38,30,0
7.387,1.015,5,46.2,43,69,43.293,1.5,3,4.6,529.61,29,73.702,65.978,65,39,26,0
9.495,1.007,5,47.5,42,65,39.968,1.7,1,1.7,478.57,28,66.276,59.403,59,36,23,0
9.495,1.004,5,47.5,42,65,40.412,1.7,0,1.7,495.02,28,65.88,59.214,59,36,23,0
9.495,1.007,5,47.5,42,65,39.968,1.7,1,1.7,478.57,28,66.276,59.403,59,36,23,0
5.0,1.008,3,48.5,22,35,23.079,3.0,0,6.1,306.2,13,36.502,33.262,33,20,13,0
7.0,1.033,2,47.1,38,55,35.681,2.0,3,5.9,462.47,28,58.125,52.661,51,34,17,0
7.495,1.031,1,50.0,38,54,35.659,2.0,3,6.0,459.46,29,56.626,51.56,50,34,16,0
5.0,1.032,1,50.0,37,52,34.825,2.1,3,6.3,464.5,28,54.048,49.534,48,33,15,1
5.796,1.037,1,47.9,37,52,34.154,2.1,3,6.3,448.44,28,54.71,49.778,48,33,15,0
5.0,1.028,2,49.1,40,59,38.406,3.6,3,5.5,488.5,29,62.168,56.552,55,36,19,0
5.959,1.01,0,51.1,35,51,33.81,2.1,0,2.1,425.9,29,52.136,47.462,47,31,16,0
5.398,1.007,1,49.0,36,55,35.224,3.9,0,0.0,421.49,29,56.817,51.349,51,32,19,0
6.18,1.017,0,51.1,36,51,34.638,2.1,0,4.3,460.34,29,52.08,47.785,47,32,15,0
7.222,1.038,1,50.0,39,54,36.487,2.0,3,8.0,493.9,29,56.57,51.883,50,35,15,0
7.097,1.031,1,51.0,38,53,35.825,2.0,3,6.1,476.51,29,55.048,50.534,49,34,15,1
5.0,1.03,1,52.9,40,55,37.825,2.0,3,5.9,500.53,30,57.048,52.534,51,36,15,1
5.0,1.031,1,51.0,38,53,35.825,2.0,3,6.1,476.51,29,55.048,50.534,49,34,15,1
6.268,1.031,1,51.0,38,53,35.825,2.0,3,6.1,476.51,29,55.048,50.534,49,34,15,1
5.0,1.031,1,50.0,38,54,35.659,2.0,3,6.0,459.46,29,56.626,51.56,50,34,16,0
5.0,1.03,1,52.9,40,55,37.825,2.0,3,5.9,500.53,30,57.048,52.534,51,36,15,1
5.226,1.03,1,52.9,40,55,37.825,2.0,3,5.9,500.53,30,57.048,52.534,51,36,15,1
5.0,1.03,1,52.9,40,55,37.825,2.0,3,5.9,500.53,30,57.048,52.534,51,36,15,1
6.796,1.021,7,43.7,48,76,47.051,2.8,3,4.2,587.66,29,80.908,72.509,71,43,28,0
6.886,1.019,8,43.2,49,79,48.578,2.7,3,4.1,601.69,29,84.324,75.392,74,44,30,0
7.167,1.017,7,44.3,47,75,46.336,1.4,3,4.3,571.66,29,79.699,71.181,70,42,28,0
6.959,1.015,8,43.8,48,78,47.863,1.4,3,4.1,585.69,29,83.114,74.065,73,43,30,0
6.959,1.021,7,44.4,49,77,48.051,2.8,3,4.2,599.67,30,81.908,73.509,72,44,28,0
7.18,1.022,4,45.6,48,73,46.304,1.5,3,4.4,582.64,34,77.367,69.516,68,43,25,0
7.18,1.019,8,43.2,49,79,48.578,2.7,3,4.1,601.69,29,84.324,75.392,74,44,30,0
7.602,1.032,1,48.1,39,56,36.681,1.9,3,5.8,474.48,29,59.125,53.661,52,35,17,0
7.398,1.038,1,48.1,40,56,37.508,1.9,3,7.7,508.92,29,59.069,53.985,52,36,16,0
7.276,1.02,5,43.9,44,70,43.809,1.5,3,4.5,545.62,29,75.284,67.298,66,40,26,0
5.0,1.051,2,50.0,42,58,38.841,1.9,6,11.1,526.47,29,61.978,56.763,54,38,16,0
5.208,1.026,5,43.6,38,59,36.734,1.8,3,5.5,466.51,23,62.955,56.429,55,34,21,0
5.0,1.023,6,43.1,39,62,38.261,1.7,3,5.2,480.54,23,66.37,59.312,58,35,23,0
7.004,1.031,5,44.4,38,58,36.428,3.7,3,5.6,467.49,23,61.666,55.654,54,34,20,0
5.955,1.031,1,51.0,38,53,35.825,2.0,3,6.1,476.51,29,55.048,50.534,49,34,15,1
5.0,1.018,7,40.7,37,62,38.257,5.1,1,3.4,485.99,19,66.971,60.047,59,34,25,0
5.0,1.049,0,51.4,31,40,29.022,2.7,2,10.8,436.28,17,41.268,38.8,37,28,9,1
8.699,1.008,1,48.1,40,59,38.159,0.0,0,1.9,478.98,33,60.422,54.44,54,35,19,0
4.0,1.001,7,41.3,37,66,39.573,4.8,0,0.0,459.6,20,71.102,63.094,63,34,29,0
4.0,0.993,12,40.3,40,76,43.659,4.2,0,0.0,488.69,18,81.265,71.527,72,36,36,0
6.744,1.035,2,45.3,38,56,37.035,1.9,3,7.5,498.93,25,60.484,54.869,53,35,18,0
9.0,1.031,7,42.1,37,60,37.508,5.3,3,7.0,493.95,18,65.069,58.752,57,34,23,0
6.383,0.996,6,43.1,44,76,46.208,1.4,0,0.0,532.71,30,81.178,71.745,72,40,32,0
6.626,1.003,6,41.8,40,70,42.594,4.5,0,0.0,498.64,25,75.6,67.196,67,37,30,0
4.0,1.003,7,40.0,38,68,40.594,4.6,0,0.0,474.62,20,73.6,65.196,65,35,30,0
7.035,1.037,7,39.2,32,53,32.981,5.9,3,7.8,443.89,13,58.653,52.869,51,30,21,0
7.0,1.033,3,45.1,36,54,35.731,5.9,2,5.9,489.96,25,57.403,52.665,51,33,18,1
7.337,1.046,3,41.5,29,43,28.677,7.3,2,7.3,413.86,19,46.573,42.898,41,27,14,1
5.0,1.011,1,46.2,30,43,27.917,0.0,0,0.0,359.45,26,43.654,39.44,39,26,13,1
5.0,1.007,9,47.3,52,82,49.508,6.8,0,0.0,586.69,32,82.438,74.531,74,44,30,0
5.796,1.009,3,41.0,26,42,25.477,2.6,0,0.0,308.38,20,44.275,39.356,39,23,16,0
5.0,0.998,16,37.3,45,87,49.47,4.8,0,0.0,562.79,18,94.301,82.825,83,41,42,0
6.046,1.051,2,44.7,35,50,32.757,4.3,4,8.5,445.41,23,54.176,49.4,47,32,15,0
7.77,1.012,5,40.7,33,56,35.46,3.7,0,3.7,460.4,19,60.95,54.647,54,31,23,0
9.292,0.995,7,46.3,46,74,44.439,0.0,0,0.0,512.67,32,75.138,66.65,67,39,28,0
9.638,1.004,6,46.9,46,71,43.296,0.0,1,1.6,516.63,32,72.063,64.28,64,39,25,0
10.0,1.001,6,46.9,46,71,43.74,0.0,0,1.6,533.08,32,71.667,64.091,64,39,25,0
