pXC50,nAT,Si,nN,nH,nBM,nHet,Se,O.,nC,Mp,nCsp2,nAB,nCsp3,SCBO,Sv
4.0,19.0,21.997,1,9,2,5,19.945,21.1,5,0.572,2,0,3,11.0,10.988
4.0,45.0,51.817,2,26,2,6,45.116,8.9,13,0.577,2,0,11,20.0,24.224
4.0,48.0,55.232,2,28,2,6,48.0,8.3,14,0.578,2,0,12,21.0,25.75
4.0,51.0,58.647,2,30,2,6,50.883,7.8,15,0.578,2,0,13,22.0,27.277
4.0,48.0,55.232,2,28,2,6,48.0,8.3,14,0.578,2,0,12,21.0,25.75
4.0,57.0,65.477,2,34,2,6,56.65,7.0,17,0.579,2,0,15,24.0,30.331
4.0,48.0,55.232,2,28,2,6,48.0,8.3,14,0.578,2,0,12,21.0,25.75
7.1,25.0,28.526,4,6,16,8,26.665,8.0,11,0.73,11,15,0,29.5,18.78
4.9,25.0,28.257,3,7,12,8,26.586,12.0,10,0.735,9,10,1,26.0,18.444
4.523,21.0,23.372,1,7,12,4,21.735,14.3,10,0.698,10,11,0,21.5,14.746
4.0,2.0,2.419,0,0,1,2,2.655,100.0,0,0.455,0,0,0,2.0,1.43
4.854,21.0,23.372,1,7,12,4,21.735,14.3,10,0.698,10,11,0,21.5,14.746
5.699,16.0,18.293,0,6,3,5,17.287,31.3,5,0.597,3,0,2,12.0,10.154
4.0,25.0,28.369,3,9,12,6,25.938,12.0,10,0.667,9,10,1,24.0,16.789
4.6,25.0,28.21,3,8,12,7,26.167,12.0,10,0.721,9,10,1,25.0,17.814
4.0,25.0,28.708,3,8,12,7,26.451,12.0,10,0.664,9,10,1,25.0,17.172
4.3,29.0,32.993,3,11,12,7,30.149,13.8,11,0.651,9,10,2,26.0,19.031
4.7,31.0,37.237,3,7,12,12,34.782,9.7,12,0.639,9,10,3,32.0,22.142
4.3,34.0,40.653,3,9,12,12,37.665,8.8,13,0.635,9,10,4,33.0,23.669
4.1,34.0,40.653,3,9,12,12,37.665,8.8,13,0.635,9,10,4,33.0,23.669
6.0,25.0,28.242,4,8,16,6,25.829,8.0,11,0.698,11,15,0,27.5,17.569
6.4,25.0,28.084,4,7,16,7,26.058,8.0,11,0.752,11,15,0,28.5,18.594
6.4,29.0,32.867,4,10,16,7,30.04,10.3,12,0.678,11,15,1,29.5,19.81
6.5,29.0,33.886,4,7,16,10,31.578,10.3,12,0.672,11,15,1,32.5,20.96
6.8,29.0,33.728,4,6,16,11,31.807,10.3,12,0.718,11,15,1,33.5,21.986
7.1,28.0,32.621,4,6,16,10,30.574,7.1,12,0.71,11,15,1,32.5,21.073
7.0,28.0,33.016,4,6,16,10,30.763,7.1,12,0.677,11,15,1,32.5,20.629
4.157,16.0,18.083,1,7,2,4,16.484,12.5,5,0.678,2,0,3,11.0,10.219
4.081,65.0,73.149,3,29,21,9,65.756,9.2,27,0.656,21,17,6,50.5,41.201
